Being a singer is all about me. About ego. Being a mom is all about being selfless - two different worlds.;Gwen Stefani;mom
If you want to study the social and political history of modern nations, study hell.;Thomas Merton;history
If there is only one thing in my life that I am proud of, it's that I've never been a kept woman.;Marilyn Monroe;life
Society cannot share a common communication system so long as it is split into warring factions.;Bertolt Brecht;society
And we can celebrate when we have a government that has earned back the trust of the people it serves... when we have a government that honors our Constitution and stands up for the values that have made America, America: economic freedom, individual liberty, and personal responsibility.;John Boehner;trust
Kids go to school and college and get through, but they don't seem to really care about using their minds. School doesn't have the kind of long term positive impact that it should.;Howard Gardner;positive
The good life is one inspired by love and guided by knowledge.;Bertrand Russell;knowledge
It takes a long time to bring the past up to the present.;Franklin D. Roosevelt;time
If music be the food of love, play on.;William Shakespeare;food
The experience gathered from books, though often valuable, is but the nature of learning whereas the experience gained from actual life is one of the nature of wisdom.;Samuel Smiles;experience
A great figure or physique is nice, but it's self-confidence that makes someone really sexy.;Vivica Fox;great
I've crashed my car three times.;Billy Joel;car
I will forever be thankful to the Malawians and international community, and my professional army and army general, who said: 'No, we will follow the constitution.' That's why I'm here.;Joyce Banda;thankful
Let me recommend the best medicine in the world: a long journey, at a mild season, through a pleasant country, in easy stages.;James Madison;best
I think there's a tremendous split between people who've been through a war and people who haven't.;Antonia Fraser;war
'Untitled' is a time machine that can transport you to 1992, an edgy moment when the art world was crumbling, money was scarce, and artists like Tiravanija were in the nascent stages of combining Happenings, performance art, John Cage, Joseph Beuys, and the do-it-yourself ethos of punk. Meanwhile, a new art world was coming into being.;Jerry Saltz;art
We didn't have a whole lot of money when I was growing up either. I would always ask for magic books or magic tricks for my birthday or for Christmas and the rest of the year I either had to mow lawns or find part time jobs to help supplement the cost of doing magic.;Lance Burton;birthday
Well, the rollout of new technology always affects how wizards do business.;Diane Duane;technology
We learn from experience that men never learn anything from experience.;George Bernard Shaw;experience
I had pro offers from the Detroit Lions and Green Bay Packers, who were pretty hard up for linemen in those days. If I had gone into professional football the name Jerry Ford might have been a household word today.;Gerald R. Ford;sports
The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.;Marcus Aurelius;life
My mother never gave up one me. I messed up in school so much they were sending me home, but my mother sent me right back.;Denzel Washington;home
It takes most men five years to recover from a college education, and to learn that poetry is as vital to thinking as knowledge.;Brooks Atkinson;education
Lighter computers and lighter sensors would let you have more function in a given weight, which is very important if you are launching things into space, and you have to pay by the pound to put things there.;Ralph Merkle;computers
Tell me I'm clever, Tell me I'm kind, Tell me I'm talented, Tell me I'm cute, Tell me I'm sensitive, Graceful and wise, Tell me I'm perfect - But tell me the truth.;Shel Silverstein;truth
The Democratic Party looks at massive immigration, legal and illegal, as a source of voters.;Tom Tancredo;legal
I had no interest in sports so I didn't make friends in that traditional way where kids are in public school and they go and they join clubs, and play sports. So I kind of had to find my own way to make friends and get attention and so I just was the class clown.;Zach Braff;sports
I don't think I'd ever make an album of just covers because I love writing my own music.;Taylor Swift;music
To those who have chosen the profession of medicine, a knowledge of chemistry, and of some branches of natural history, and, indeed, of several other departments of science, affords useful assistance.;Charles Babbage;history
Doing linear scans over an associative array is like trying to club someone to death with a loaded Uzi.;Larry Wall;technology
I became a Republican because I trust people more than I trust government.;Heather Wilson;trust
Men cheat for the same reason that dogs lick their balls... because they can.;Kim Cattrall;men
Failure is simply the opportunity to begin again, this time more intelligently.;Henry Ford;intelligence
The best thing for me is, when I'm not working, is to be at home and to have a script or two scripts is better, and to be just walking around the house and just thinking about the lines.;Christopher Walken;home
There's immense fun to be had as long as you can sort of sneak it past DC. I have been told on occasion that I need to have more respect for these characters.;Garth Ennis;respect
Money is not necessarily, although it helps a lot for happiness, it's not necessarily the best way to be happy, to be rich, you know.;Eric Ripert;happiness
An attitude of philosophic doubt, of suspended judgment, is repugnant to the natural man. Belief is an independent joy to him.;William Minto;attitude
In love, unlike most other passions, the recollection of what you have had and lost is always better than what you can hope for in the future.;Stendhal;hope
Everything that everyone is afraid of has already happened: The fragility of capitalism, which we don't want to admit the loss of the empire of the United States and American exceptionalism. In fact, American exceptionalism is that we are exceptionally backward in about fifteen different categories, from education to infrastructure.;James Hillman;education
In art economy is always beauty.;Henry James;beauty
I'm not a political person. When I start to get into it, it just upsets me. I feel so powerless when it comes to politics. So I've just decided to be non-political and very, very pro-soldier.;Channing Tatum;politics
To be happy, we must be true to nature and carry our age along with us.;William Hazlitt;nature
Each of us has an inner dream that we can unfold if we will just have the courage to admit what it is. And the faith to trust our own admission. The admitting is often very difficult.;Julia Cameron;trust
I'll get up in the morning while they've all got hangovers and run my 5 miles. But the women who do run are usually 10 years younger than me and they're really obsessed about running. That's all they do. They're really boring.;Trisha Goddard;morning
Globalization was a deep trend pushed by technology and right ideas, as much as anything else.;Jeffrey Sachs;technology
