I talk to myself, especially in the car.;Chris Pine;car
The big divide in this country is not between Democrats and Republicans, or women and men, but between talkers and doers.;Thomas Sowell;women
In days of doubt, in days of dreary musings on my country's fate, you alone are my comfort and support, oh great, powerful, righteous, and free Russian language!;Ivan Turgenev;alone
The intelligence failures with respect to Iraq were massive and have damaged our credibility around the world.;Carl Levin;respect
It's not like I sit around watching my movies again and again, but I've never quite believed actors when they say they don't watch themselves.;Kristen Stewart;movies
Science was something that really caught my attention. It was something I really could sink my teeth into.;Michael P. Anderson;science
Just like my father, I've always loved education. In school I was a member of the honor society.;Barbra Streisand;education
I cried on my 18th birthday. I thought 17 was such a nice age. You're young enough to get away with things, but you're old enough, too.;Liv Tyler;birthday
One keeps forgetting old age up to the very brink of the grave.;Sidonie Gabrielle Colette;age
I'd like to be more patient! I just want everything now. I've tried to meditate, but it's really hard for me to stay still. I'd like to try to force myself to do it, because everybody says how wonderful meditation is for you, but I can't shut my mind up. So patience and learning is the key.;Ellen DeGeneres;learning
I have argued for years that we do not have a health care system in America. We have a disease-management system - one that depends on ruinously expensive drugs and surgeries that treat health conditions after they manifest rather than giving our citizens simple diet, lifestyle and therapeutic tools to keep them healthy.;Andrew Weil;diet
It began to dawn on me that perhaps my country needed me more at home than overseas.;Larry David;home
The more man meditates upon good thoughts, the better will be his world and the world at large.;Confucius;good
I wake up in the morning, I do a little stretching exercises, pick up the horn and play.;Herb Alpert;morning
Dreams get you into the future and add excitement to the present.;Robert Conklin;future
My 'fear' is my substance, and probably the best part of me.;Franz Kafka;fear
I wanted to be successful, not famous.;George Harrison;famous
I think God's going to come down and pull civilization over for speeding.;Steven Wright;god
The idea that the rest of the world was somehow being held hostage by the Arab-Israeli conflict once had a minimal basis in reality. In the first 20 years of Israel's existence, every Arab country was in an active state of war with the Jewish state.;John Podhoretz;war
Tell me who is able to keep his bed chaste, or which goddess is able to live with one god alone?;Sextus Propertius;alone
Working with big actors and realising that they were just normal people who've got an incredible talent was just a great experience.;Tom Felton;experience
My grandfather was one of the most amazing Baptist ministers in history, he was unbelievable. He was one of the most amazing men - the most amazing man that I ever met... He lived an amazing life.;Josh Henderson;amazing
All those lessons that I've learned on the court, I have applied them to my life outside of the court in business, my company, called V Starr interiors, an interior design company, and EleVen, which I wear on court.;Venus Williams;business
And I think of that again as I've written in several of my beauty books, a lot of health comes from the proper eating habits, which are something that - you know, I come from a generation that wasn't - didn't have a lot of food.;Joan Collins;health
Women's humor seems to be a little more supportive. It's just kind of trying to make the other one laugh through funny voices and kind of talking about other people. I respond to that. I feel less like I'm going to get beat up in a room full of women than I do in a room full of guys.;Paul Feig;humor
If thou art a man, admire those who attempt great things, even though they fail.;Lucius Annaeus Seneca;art
There is no easy walk to freedom anywhere, and many of us will have to pass through the valley of the shadow of death again and again before we reach the mountaintop of our desires.;Nelson Mandela;death
When you make your peace with authority, you become authority.;Jim Morrison;peace
I also believe that government has no business telling us how we should live our lives. I think our lifestyle choices should be left up to us. What we do in our private lives is none of the government's business. That position rules out the Republican Party for me.;Jesse Ventura;government
And of course I've got kids of my own now, and they love me being in the Harry Potter films. I'm now part of a phenomenon. You become incredibly cool to your kids, and you get a young fan base. So you became the cool dad at school. You're suddenly hip.;Gary Oldman;cool
I guess I wanted to leave America for awhile. It wasn't that I wanted to become an expatriate, or just never come back, I needed some breathing room. I'd already been translating French poetry, I'd been to Paris once before and liked it very much, and so I just went.;Paul Auster;poetry
In this business you have to develop a thick skin, but I'm always going to feel everything. It's my nature.;Taylor Swift;business
The USDA is not our ally here. We have to take matters into our own hands, not only by advocating for a better diet for everyone - and that's the hard part - but by improving our own. And that happens to be quite easy. Less meat, less junk, more plants.;Mark Bittman;diet
I mean, I'd love to have a private jet - I know people who fly by private jet all the time... I've hitched a ride a few times and it is not overrated at all it's a great way to travel!;Marc Jacobs;travel
