Even on education, his one accomplishment, the Leave No Child Behind Act, and he has left it unfunded.;Sidney Blumenthal;education
It is ironic that the one thing that all religions recognize as separating us from our creator, our very self-consciousness, is also the one thing that divides us from our fellow creatures. It was a bitter birthday present from evolution.;Annie Dillard;birthday
I think by planning an exercise regime, your diet follows to some extent.;Dolph Lundgren;diet
Many a genius has been slow of growth. Oaks that flourish for a thousand years do not spring up into beauty like a reed.;George Henry Lewes;beauty
I grew up in a funny way.;Gordon Ramsay;funny
A wife lasts only for the length of the marriage, but an ex-wife is there for the rest of your life.;Jim Samuels;marriage
Unless we place our religion and our treasure in the same thing, religion will always be sacrificed.;Epictetus;religion
I'm married to my best friend!;Miranda Lambert;best
More Americans own their home than ever before. Nearly 70 percent of American's are homeowners. So it is a good time for us to asses the positive impacts of homeownership on families, communities and on the nation's economy.;Randy Neugebauer;positive
A shady business never yields a sunny life.;B. C. Forbes;business
I believe in a religion that believes in freedom. Any time I have to accept a religion that won't let me fight a battle for my people, I say to hell with that religion.;Malcolm X;freedom
My father was a minister and so rock music was banned in our house.;Tori Amos;music
I follow the most random people on Twitter. I follow famous people like Khloe Kardashian, who surprisingly makes really funny tweets all the time.;Chloe Moretz;funny
The first task in teaching is to bring to consciousness what the students already believe by virtue of their personal experiences about themselves and society.;Paul Wellstone;society
It was so draining. Going to parties to rub elbows with so-and-so and act like it's no big deal, when really all I was doing was hoping I'd have the success they had.;Katy Perry;success
And basically, the sense of the 'Pledge to America' is this: Republicans understand when we were in charge, we got fired in '06. We spent too much money. We defied the trust that the people had put in us. And we know that there is a better way.;Eric Cantor;trust
Nothing is more destructive of respect for the government and the law of the land than passing laws which cannot be enforced.;Albert Einstein;government
It was an amazing performer. Very temperamental, it spent a lot of time in its trailer.;Tilda Swinton;amazing
America's downgrade may serve as a wakeup call for its policymakers. It is an unambiguous and loud signal of the country's eroding economic strength and global standing. It renders urgent the need to regain the initiative through better economic policymaking and more coherent governance.;Mohamed El-Erian;strength
That is what I'm looking forward to the most, practical learning. I want to be a registered nurse so getting to talk to people who already work in those jobs can really teach me what to expect when I get out in the real world.;Angela Carter;learning
Waste your money and you're only out of money, but waste your time and you've lost a part of your life.;Michael LeBoeuf;life
If I had been on 'Bowling for Dollars,' I'd wind up owing them money.;Ricki Lake;money
All my band members were old enough to be my dad. It was like this family vibe.;Hunter Hayes;dad
I would like to be remembered as a man who had a wonderful time living life, a man who had good friends, fine family - and I don't think I could ask for anything more than that, actually.;Frank Sinatra;good
If you look at the footballers, you look at our celebrity culture, we seem to be saying, 'This is the way you want to be'. We seem to be a society that celebrates all the wrong people.;Iain Duncan Smith;society
There is no truth. There is only perception.;Gustave Flaubert;truth
Wit is the appearance, the external flash of imagination. Thus its divinity, and the witty character of mysticism.;Karl Wilhelm Friedrich Schlegel;imagination
When I was trying to impress Kate I was trying to cook these amazing fancy dinners and what would happen was I would burn something, something would overspill, something would catch on fire and she would be sitting in the background trying to help, and basically taking control of the whole situation, so I was quite glad she was there at the time.;Prince William;amazing
Sad Patience, too near neighbour to despair.;Matthew Arnold;patience
For peace is not mere absence of war, but is a virtue that springs from, a state of mind, a disposition for benevolence, confidence, justice.;Baruch Spinoza;peace
My family comes first. Maybe that's what makes me different from other guys.;Bobby Darin;family
As far as friendships go, things change even without the fame. People start moving on. I have a few friends that are married and are starting to have kids and I'm like, 'Oh my goodness gracious - that's so insane.' I also have friends who are just doing their own thing, which is cool.;Jordin Sparks;change
The Left Elite only pretend to be concerned about what's best for everyone else because it is the most effective way to manipulate you and your children into their abyss.;Tammy Bruce;best
I never wanted to become an actress because I'd read great literature or seen great Shakespeare. It was more just wanting to understand what the people were really like, why they said all the strange things they did.;Julie Walters;great
Education can counteract the natural tendency to do the wrong thing, but the inexorable succession of generations requires that the basis for this knowledge be constantly refreshed.;Garrett Hardin;knowledge
Any problem, big or small, within a family, always seems to start with bad communication. Someone isn't listening.;Emma Thompson;family
One should always be in love. That is the reason one should never marry.;Oscar Wilde;marriage
I've often dreamed about going back to Nigeria, but that's a very romantic notion. It's a hideous country to go to in reality.;Hugo Weaving;romantic
I think it's best if there's an amendment that goes on the ballot where the people can weigh in. Every time this issue has gone on the ballot, the people have voted to retain the traditional definition of marriage as recently as California in 2008.;Michele Bachmann;marriage
Imagination rules the world.;Napoleon Bonaparte;imagination
Revenge is the naked idol of the worship of a semi-barbarous age.;Percy Bysshe Shelley;age
For an actor, you're rejected eight or ten times a day. All you've got to sell is yourself. You're not selling products, they're not turning down a car, they're turning you down. Most people can't handle that. Most people are essentially not set up that way.;Barry Corbin;car
All my life I've taken photographs of people who are completely at peace being what they were in the situations I photographed them in.;Jock Sturges;peace
When I meet large women who walk with confidence and are articulate and really have an understanding of how they walk in this world, I love them so deeply for being able to overcome such unbelievable odds.;Camryn Manheim;women
Listen there's a hell of a good universe next door: let's go.;e. e. cummings;good
Because forgiveness is like this: a room can be dank because you have closed the windows, you've closed the curtains. But the sun is shining outside, and the air is fresh outside. In order to get that fresh air, you have to get up and open the window and draw the curtains apart.;Desmond Tutu;forgiveness
You know, sitting in the car when they got back in and - first of all, it was relief. I was not - there were two get away cars or switch cars they were called. And, you know, the group tended to include everyone.;Patty Hearst;car
Patience is necessary, and one cannot reap immediately where one has sown.;Soren Kierkegaard;patience
It would be great if politics were fact-based, but it is not, and it is surely not nuance-based. What works in a classroom or a think tank does not work on Capitol Hill or in the White House. Obama sometimes seems to be running the Brookings Institution, not the country.;Jon Meacham;politics
Physics does not change the nature of the world it studies, and no science of behavior can change the essential nature of man, even though both sciences yield technologies with a vast power to manipulate the subject matters.;Pope Paul VI;nature
Who would you want to be giving you advice? Somebody who doesn't have any money?;Suze Orman;money
I started the class late. The teacher said I would have to learn as much in half a year that the others learned in a year. I did it.;Katarina Witt;teacher
Cynical realism is the intelligent man's best excuse for doing nothing in an intolerable situation.;Aldous Huxley;best
The Internet has changed the way we communicate with each other, the way we learn about the world and the way we conduct business.;Ron Wyden;business
I need protein from food rather than just protein supplements. I changed my diet.;Travis Barker;diet
Men and women of every faith and good people with none at all sincerely strive to do right and lead a purpose-driven life.;Mitt Romney;faith
I have experienced jealousy, possessiveness, verbal abuse and violence from men, but I have also experienced jealousy, possessiveness, verbal abuse and violence from women, usually when I failed to respond to their advances.;Julie Burchill;women
For marriage to be a success, every woman and every man should have her and his own bathroom. The end.;Catherine Zeta-Jones;success
You have to like the present if not your life becomes secondhand, if you think it was better before. Or that it will be better in the future.;Karl Lagerfeld;future
A conservative is a man who just sits and thinks, mostly sits.;Woodrow Wilson;politics
I'd like to have the flying car, I think that'd be really cool.;Rupert Grint;car
Although I'm Australian, I find myself much more in sympathy with the Austrian version!;David Chalmers;sympathy
The less we deserve good fortune, the more we hope for it.;Lucius Annaeus Seneca;hope
Charm, in most men and nearly all women, is a decoration.;E. M. Forster;women
Women's health is one of WHO's highest priorities.;Gro Harlem Brundtland;health
Let us live for the beauty of our own reality.;Charles Lamb;beauty
