To love abundantly is to live abundantly, and to love forever is to live forever.;Henry Drummond;love
Until we respect bin Laden, we are going to die in numbers that are probably unnecessary.;Michael Scheuer;respect
After I became a citizen, I felt freer to say what I thought about this country, both negative and positive. I think I had been, consciously and subconsciously, biting my tongue in the past.;Robert MacNeil;positive
We are by nature observers, and thereby learners. That is our permanent state.;Ralph Waldo Emerson;nature
Two hundred years ago, our Founding Fathers gave us a democracy. It was based upon the simple, yet noble, idea that government derives its validity from the consent of the governed.;Paul Tsongas;government
Marriage, like death, is a debt we owe to nature.;Julia Ward Howe;marriage
In the seventies, a group of American artists seized the means not of production but of reproduction. They tore apart visual culture at a time of no money, no market, and no one paying attention except other artists. Vietnam and Watergate had happened everything in America was being questioned.;Jerry Saltz;money
I love my dad and we have a very good relationship now.;Norah Jones;dad
I know that I will never find my father in any other man who comes into my life, because it is a void in my life that can only be filled by him.;Halle Berry;dad
I knew that there were black people in Africa, of course, unfortunately because of movies such as 'Tarzan.';Henry Louis Gates;movies
I woke up on May 15, 1991, the day of my Barnard graduation, and I said to myself, 'By the end of today you will decide what you want to do with the rest of your life.';Alexandra Guarnaschelli;graduation
The biggest kick I get is to communicate with those who are exiled from the game - in hospitals, homes, prisons - those who have seldom seen a game, who can't travel to a game, those who are blind.;Jack Buck;travel
Death is the final wake-up call.;Douglas Horton;death
The beauty of 'spacing' children many years apart lies in the fact that parents have time to learn the mistakes that were made with the older ones - which permits them to make exactly the opposite mistakes with the younger ones.;Sydney J. Harris;beauty
As far as humor goes, I've always been a very insecure person and I've always wanted to be liked.;Peter Steele;humor
Writing for children is bloody difficult books for children are as complex as their adult counterparts, and they should therefore be accorded the same respect.;Mark Haddon;respect
People do not win people fights. Lawyers do.;Norman Ralph Augustine;legal
So much of life is luck. One day you make a right turn and get hit by a car. Turn left and you meet the love of your life. I think I made the correct turn.;Loretta Swit;car
In war, when a commander becomes so bereft of reason and perspective that he fails to understand the dependence of arms on Divine guidance, he no longer deserves victory.;Lucius Annaeus Seneca;war
There's another way we are getting behind business - by sorting out the banks. Taxpayers bailed you out. Now it's time for you to repay the favour and start lending to Britain's small businesses.;David Cameron;business
The American Dream has run out of gas. The car has stopped. It no longer supplies the world with its images, its dreams, its fantasies. No more. It's over. It supplies the world with its nightmares now: the Kennedy assassination, Watergate, Vietnam.;J. G. Ballard;dreams
My strengths as a businessman lie in the design and sale of women's shoes, and I have never been comfortable with complicated or technical legal or business documents.;Steve Madden;design
The youth is the hope of our future.;Jose Rizal;hope
My dad was an engineer and so I had this picture of science and technology and pursuits of the mind as being more impressive than artistic pursuits, which I saw a as kind of frivolous.;Scott McCloud;technology
My childhood, I would say, was a bit sad.;Columba Bush;sad
It is paradoxical that many educators and parents still differentiate between a time for learning and a time for play without seeing the vital connection between them.;Leo Buscaglia;learning
At the moment of death I hope to be surprised.;Ivan Illich;death
Being a CEO still means sitting across the table from big institutional investors and showing your leadership and having them believe in you.;Christie Hefner;leadership
The terrorists are fighting freedom with all their cunning and cruelty because freedom is their greatest fear - and they should be afraid, because freedom is on the march.;George W. Bush;freedom
The exposed nature of life in the public square affects leaders' attitudes toward risk - and failure.;Dee Dee Myers;nature
We are all hungry and thirsty for concrete images. Abstract art will have been good for one thing: to restore its exact virginity to figurative art.;Salvador Dali;art
As people are walking all the time, in the same spot, a path appears.;John Locke;time
A pun is the lowest form of humor, unless you thought of it yourself.;Doug Larson;humor
Soon I knew the craft of experimental physics was beyond me - it was the sublime quality of patience - patience in accumulating data, patience with recalcitrant equipment - which I sadly lacked.;Abdus Salam;patience
Each blade of grass has its spot on earth whence it draws its life, its strength and so is man rooted to the land from which he draws his faith together with his life.;Joseph Conrad;faith
The search for human freedom can never be complete without freedom for women.;Betty Ford;freedom
What a country calls its vital... interests are not things that help its people live, but things that help it make war.;Simone Weil;war
