The grandeur and strength or our people and democracy are as big as a forest.;Chen Shui-bian;strength
We need to tap the resource of current and retiring science and math professionals that have both content mastery and the practical experience to serve as effective teachers.;Cathy McMorris;science
So far, 44 States, or 88 percent of the States, have enacted laws providing that marriage shall consist of a union between a man and a woman. Only 75 percent of the States are required to approve a constitutional amendment.;Jack Kingston;marriage
As a chef, I had started working with groups like Share Our Strength and various local food banks in New York, raising money for hunger-related issues. And not only me, but the entire restaurant industry has been very focused on this issue.;Tom Colicchio;food
Jealousy is the jaundice of the soul.;John Dryden;jealousy
My mom is painfully sweet she's from Nebraska.;Gabrielle Union;mom
In my family, there was one cardinal priority - education. College was not an option it was mandatory. So even though we didn't have a lot of money, we made it work. I signed up for financial aid, Pell Grants, work study, anything I could.;Eva Longoria;education
My friends that are snobs think its cool I did a movie with Albert Brooks.;Robin Tunney;cool
I have lived in Mumbai for more than 20 years, have my domicile here, my home and family here.;Shahrukh Khan;family
Just hit my 75th birthday, I'm feeling great!;Colin Powell;great
Germany must be a country which generates political ideas and leadership, which is capable of compromise, which is sovereign and yet knows that it needs its partners on both sides of the Atlantic.;Horst Koehler;leadership
God gave us faculties for our use each of them will receive its proper reward. Then do not let us try to charm them to sleep, but permit them to do their work until divinely called to something higher.;Saint Teresa of Avila;god
I don't know concretely if it's due to superstition, but any time a new rule is implemented into the NBA or a new piece of equipment or a new technology, there is always a transition and adjustment period by players and coaches and anyone involved with the game.;Stu Jackson;technology
There are so many things I want to do. Like, I want to get an artist, a musician, a photographer, and a bunch of dancers that I know and just travel across Africa and just film it and just see what happens. Do and learn as much as I possibly can. Luckily, I have a lot more time.;Channing Tatum;travel
In every election in American history both parties have their cliches. The party that has the cliches that ring true wins.;Newt Gingrich;history
I think that the entertainment industry itself has a history of chasing success. Any time a hit product comes out, all the other companies start chasing after that success and trying to recreate it by putting out similar products.;Shigeru Miyamoto;history
The primary requisite for writing well about food is a good appetite. Without this, it is impossible to accumulate, within the allotted span, enough experience of eating to have anything worth setting down.;A. J. Liebling;food
I know of no safe depository of the ultimate powers of the society but the people themselves and if we think them not enlightened enough to exercise their control with a wholesome discretion, the remedy is not to take it from them but to inform their discretion.;Thomas Jefferson;society
You can't legislate good will - that comes through education.;Malcolm X;education
Men create real miracles when they use their God-given courage and intelligence.;Jean Anouilh;intelligence
Work hard, stay positive, and get up early. It's the best part of the day.;George Allen, Sr.;best
But after this natural burst of indignation, no man of sense, courage, or prudence will waste his time or his strength in retrospective reproaches or repinings.;Robert Peel;courage
My dad was a ham, too. He could sell those women anything. Of all his sons, I was the only one he could trust to sell as well as he could. I was proud of that.;Paul Lynde;dad
He is not a lover who does not love forever.;Euripides;love
I'm still shy - I'm no good at my children's parent-teacher conferences, and I'm slowly learning how to ask for what I want. But I now know that I have a reserve of courage to draw upon when I really need it. There's nothing that I'm too scared to have a go at.;Emily Mortimer;learning
Where are the jobs going to come from?Small business, manufacturing and clean energy. Where's the money to finance them? The banks and the corporations in America today have lots of money that they can invest right now.;William J. Clinton;finance
I respect only those who resist me, but I cannot tolerate them.;Charles de Gaulle;respect
It's just like any relationship, the more contained the environment, the more the good stuff appears and the more the bad stuff will reveal itself.;Bruce Greenwood;relationship
My father was the quintessential husband and dad.;Sidney Poitier;dad
I always wanted to be a teacher.;Nicky Hilton;teacher
Great nations are simply the operating fronts of behind-the-scenes, vastly ambitious individuals who had become so effectively powerful because of their ability to remain invisible while operating behind the national scenery.;R. Buckminster Fuller;great
