In America, through pressure of conformity, there is freedom of choice, but nothing to choose from.;Peter Ustinov;freedom
Sometimes we need to remind ourselves that thankfulness is indeed a virtue.;William Bennett;thankful
As to those who hoard gold and silver and spend it not in God's path, give them, then, the tidings of a painful agony: on a day when these things shall be heated in hell-fire, and their foreheads, and their sides, and their backs shall be branded therewith.;Kin Hubbard;god
Patriotism is the religion of hell.;James Branch Cabell;patriotism
I really wanted to just be a musician. I didn't want to be anything else, but I was funny and all that.;Jamie Foxx;funny
It's true that it's within the realm of cultural politics that young people tend to work through political issues, which I think is good, although it's not going to solve the problems.;Angela Davis;politics
Politics is just show business for ugly people.;Jay Leno;politics
Friendship is two-sided. It isn't a friend just because someone's doing something nice for you. That's a nice person. There's friendship when you do for each other. It's like marriage - it's two-sided.;John Wooden;marriage
Dreams are real as long as they last. Can we say more of life?;Havelock Ellis;dreams
You can't separate peace from freedom because no one can be at peace unless he has his freedom.;Malcom X;peace
At school, there was an annual school disco and I'd be standing in my bedroom wondering what to wear for hours on end. Eventually I'd arrive at a decision that was just the most ridiculous costume you could have ever devised - I think it was probably knitted Christmas jumpers on top of buttoned-up white shirts.;Guy Berryman;christmas
I am desperate for change - now - not in 8 years or 12 years, but right now.;Michelle Obama;change
My dad was a big believer in treating people well, oftentimes even when he himself wasn't well.;Neil Cavuto;dad
Nobody makes movies bad on purpose.;Roland Emmerich;movies
Time moves in one direction, memory in another.;William Gibson;time
There is always the danger that we may just do the work for the sake of the work. This is where the respect and the love and the devotion come in - that we do it to God, to Christ, and that's why we try to do it as beautifully as possible.;Mother Teresa;god
If the government fails to listen to your demands, then you will decide what is best for you.;Muqtada al Sadr;government
I spent many a summer early morning with the radio very low, half sleeping and half listening.;Frankie Valli;morning
I remember when the candle shop burned down. Everyone stood around singing 'Happy Birthday.';Steven Wright;birthday
It is good even for old men to learn wisdom.;Aeschylus;wisdom
I travel around the world, experiencing every language, every religion... some places where there's just no reason to smile, because their lives are so difficult.;Lionel Richie;religion
The fact that we are I don't know how many millions of people, yet communication, complete communication, is completely impossible between two of those people, is to me one of the biggest tragic themes in the world.;Georges Simenon;communication
Solitude can be used well by very few people. They who do must have a knowledge of the world to see the foolishness of it, and enough virtue to despise all the vanity.;Abraham Cowley;knowledge
The most absurd and reckless aspirations have sometimes led to extraordinary success.;Luc de Clapiers;success
I lived by the candlelight for two years because I couldn't afford power. It was nice and romantic at the time, but if you can't afford power you're pretty broke. You endure it.;Jeremy Renner;romantic
What the mass media offers is not popular art, but entertainment which is intended to be consumed like food, forgotten, and replaced by a new dish.;W. H. Auden;food
Any old place I can hang my hat is home sweet home to me.;William Jerome;home
Great art picks up where nature ends.;Marc Chagall;art
Human dignity is better served by embracing knowledge.;John Charles Polanyi;knowledge
I thought I was funny as a kid.;Jo Brand;funny
It is impossible to experience one's death objectively and still carry a tune.;Woody Allen;death
I enjoy being busy, I really do. Remember, I'm the stub end of the railroad. I have no family, so I'm not taking busy time away from people that I should be spending it with. So I'm just relaxing and enjoying it.;Betty White;family
Poetry is really a way of sharing feelings and ideas.;Caroline Kennedy;poetry
When I'm good I'm very, very good, but when I'm bad, I'm better.;Mae West;good
The American economic, political, and social organization has given to its citizens the benefits of material prosperity, political liberty, and a wholesome natural equality and this achievement is a gain, not only to Americans, but to the world and to civilization.;Herbert Croly;equality
I've probably earned the right to screw up a few times. I don't want the fear of failure to stop me from doing what I really care about.;Emma Watson;failure
The corporate woman has been defined as the 'liberated woman' and I see that as the exact opposite. I think she now is more enslaved, maybe even more than the housewife was because she's so out of her power, and imitating male power is not female power.;Kenny Loggins;power
Sid Vicious began the age of participation in which everyone could be the artist. Sid proved that you don't have to play well to be the star. You can play badly, or not even at all. I endorsed that attitude. If you can't write songs, no problem - simply steal one and change it to your taste.;Malcolm Mclaren;attitude
When I found out I got this job, I cried, of course - I'm a girly-girl - and then I called my dad, and he cried, too. On so many levels, this is a thrill for me.;Lisa Guerrero;dad
A lot of the fun lies in trying to penetrate the mystery and this is best done by saying over the lines to yourself again and again, till they pass through the stage of sounding like nonsense, and finally return to a full sense that had at first escaped notice.;Anthony Hecht;best
It is not ignorance but knowledge which is the mother of wonder.;Joseph Wood Krutch;knowledge
Music and politics are in essence about communication. Without over-stretching the analogy I do feel a sense of rhythm is important in getting your message across.;Charles Kennedy;politics
I am ready to accept all accusations, allegations, anger - but I have to succeed.;Boris Trajkovski;anger
Since 2001, the Patriot Act has provided the means to detect and disrupt terrorist threats against the U.S. Prior to enactment of the law, major legal barriers prevented intelligence, national defense, and law enforcement agencies from working together and sharing information.;Roger Wicker;legal
The three most important things a man has are, briefly, his private parts, his money, and his religious opinions.;Samuel Butler;money
I decided that if I could paint that flower in a huge scale, you could not ignore its beauty.;Georgia O'Keeffe;nature
A woman has the age she deserves.;Coco Chanel;age
An important aspect of the current situation is the strong social reaction against suggestions that the home language of African American children be used in the first steps of learning to read and write.;William Labov;learning
Fruitful discourse in science or theology requires us to believe that within the contexts of normal discourse there are some true statements.;Kenneth L. Pike;science
There are no great limits to growth because there are no limits of human intelligence, imagination, and wonder.;Ronald Reagan;intelligence
Part of the reason for the ugliness of adults, in a child's eyes, is that the child is usually looking upwards, and few faces are at their best when seen from below.;George Orwell;best
We've arranged a civilization in which most crucial elements profoundly depend on science and technology.;Carl Sagan;technology
Whosoever desires constant success must change his conduct with the times.;Niccolo Machiavelli;success
Driving at high speed where safe and legal is part of my life. As well as a higher top speed I wanted even better stability in my FX and that meant work on the aerodynamics.;Sebastian Vettel;legal
I believed in studying just because I knew education was a privilege. It was the discipline of study, to get into the habit of doing something that you don't want to do.;Wynton Marsalis;education
Teacher unions are an interest group that acts in defense of their own interests, which means the union bosses' interests, not the members.;Peter Brimelow;teacher
Most people have no concept of how an automatic transmission works, yet they know how to drive a car. You don't have to study physics to understand the laws of motion to drive a car. You don't have to understand any of this stuff to use Macintosh.;Steve Jobs;car
Our founders got it right when they wrote in the Declaration of Independence that our rights come from nature and nature's God, not from government.;Paul Ryan;government
Going out and playing football or baseball with the boys, when I was a tomboy, was a great way to learn about winning and losing, and most girls didn't have that experience.;Hillary Clinton;great
People who don't like me talk about it as though I'm trash because I have tattoos. I find that insane because it's 2008, not the 1950s. Tattoos aren't limited to sailors. It's a form of art I find beautiful. I love it.;Megan Fox;art
Things are beautiful if you love them.;Jean Anouilh;art
I just want to make music, I don't want people to talk about me. All I've ever wanted to do was sing. I don't want to be a celebrity. I don't want to be in people's faces, you know, constantly on covers of magazine that I haven't even known I'm on.;Adele;famous
Despite the encouraging and wonderful gains and the changes for women which have occurred in my lifetime, there is still room to advance and to promote correction of the remaining deficiencies and imbalances.;Sandra Day O'Connor;women
Happiness comes when we test our skills towards some meaningful purpose.;John Stossel;happiness
The big thing that everyone forgets, you're famous and on TV and everything, but I think there's something very rewarding to be able to write a song, record it, and have it turn out as you heard it in your head, or even better.;Phil Collen;famous
Serious sport has nothing to do with fair play. It is bound up with hatred, jealousy, boastfulness, disregard of all rules and sadistic pleasure in witnessing violence. In other words, it is war minus the shooting.;George Orwell;jealousy
You come to a point in your life when you really don't care what people think about you, you just care what you think about yourself.;Evel Knievel;life
The development of the food industry for both domestic and export markets relies on a regulatory framework that both protects the consumer and assures fair trading practices in food.;Gro Harlem Brundtland;food
The tragedy of life is in what dies inside a man while he lives - the death of genuine feeling, the death of inspired response, the awareness that makes it possible to feel the pain or the glory of other men in yourself.;Norman Cousins;death
I never saw a lawyer yet who would admit he was making money.;Mary Roberts Rinehart;legal
A business that makes nothing but money is a poor business.;Henry Ford;business
The wheel that squeaks the loudest is the one that gets the grease.;Josh Billings;wisdom
I've never dreamed of a story idea. I have such boring dreams.;R. L. Stine;dreams
The 'morality of compromise' sounds contradictory. Compromise is usually a sign of weakness, or an admission of defeat. Strong men don't compromise, it is said, and principles should never be compromised.;Andrew Carnegie;men
