Bad, quirky poetry might be better than some of the good stuff, because it really comes from the heart.;Cheryl Hines;poetry
When you're rich and famous you are the dominant force in a relationship, even if you try hard not to be. I've talked of sacrificing everything for Fleetwood Mac, but I realize now that it is simply the only thing I've ever wanted to do.;Stevie Nicks;relationship
I think growing up is difficult and it's a process that I'm always interested in, with kids and adults, they are often on two different universes.;Alice Hoffman;teen
Whenever I fail as a father or husband... a toy and a diamond always works.;Shahrukh Khan;dad
It is to be regretted that the rich and powerful too often bend the acts of government to their own selfish purposes.;Andrew Jackson;government
The delusions of self-love cannot be prevented, but intellectual misconceptions as to the means of achieving success may be corrected.;George Henry Lewes;success
The whole business of getting famous was good fun, but it was a long time ago.;Julian Clary;famous
My parents were kind of like me in that they had tons and tons of weird, amazing stuff.;Jaron Lanier;amazing
The truth is, after Boys Don't Cry, I realized how few and far between the great roles are. I am beyond thankful for finding Million Dollar Baby.;Hilary Swank;thankful
I travel around and hear from so many kids. Their parents say they were always very picky but they watch the show and they want to try stuff. The show is entertainment, but I think it has done so much for the public perception of what food can be.;Tom Colicchio;travel
Business, more than any other occupation, is a continual dealing with the future it is a continual calculation, an instinctive exercise in foresight.;Henry R. Luce;business
Love is a mutual self-giving which ends in self-recovery.;Fulton J. Sheen;love
Fishing is much more than fish. It is the great occasion when we may return to the fine simplicity of our forefathers.;Herbert Hoover;sports
It is my feeling that Time ripens all things with Time all things are revealed Time is the father of truth.;Francois Rabelais;truth
In terms of my marriage, you know, falling in love with my husband was by far the best thing that's ever happened to me.;Caroline Kennedy;marriage
There is no stopping the world's tendency to throw off imposed restraints, the religious authority that is based on the ignorance of the many, the political authority that is based on the knowledge of the few.;Van Wyck Brooks;knowledge
I have always hated celebrities lecturing people on politics. So forgive me. But I am passionate about this country. I am equally passionate about the potential of the people who live here.;Simon Cowell;politics
Back in the '70s, like one of my favorite movies ever was 'The Bad News Bears', and that was a kids' movie, but I don't think of it that way. I think of it as just a great movie because Walter Matthau was so funny and so harsh with those kids.;Jack Black;movies
More people on unemployment benefits is not success in America, fewer people on not because we kicked them off but because they have been able to get a job in the private sector, because government got out of the way.;Scott Walker;government
I always said that if I could just find a guy who could chop wood and had a nice smile, it wouldn't bother me if he was a thug or an aristocrat, as long as he was a good guy. And I've ended up with an educated thug.;Sade Adu;smile
Faith given back to us after a night of doubt is a stronger thing, and far more valuable to us than faith that has never been tested.;Elizabeth Goudge;faith
A bride at her second marriage does not wear a veil. She wants to see what she is getting.;Helen Rowland;wedding
It's amazing the hours you pull when you're the lead of a show.;Jamie Luner;amazing
Completeness? Happiness? These words don't come close to describing my emotions. There truly is nothing I can say to capture what motherhood means to me, particularly given my medical history.;Anita Baker;mom
God always takes the simplest way.;Albert Einstein;god
Business is other people's money.;Delphine de Girardin;money
Freedom means the right of people to assemble, organize, and debate openly.;Hillary Clinton;freedom
I think having land and not ruining it is the most beautiful art that anybody could ever want to own.;Andy Warhol;art
Pulp existed for 12 years before we got famous. Now, you could say that was just lack of imagination, but it's some kind of quality isn't it? Tenacity. You could also say it was sloth.;Jarvis Cocker;imagination
Do business managers have a commitment to anything more than the success of their company and to making money? It would be hard to say that they do. Indeed, many business leaders deny that there is any conflict between self-interest and the interests of all.;Peter Singer;success
I never wanted to be famous.;Dave Attell;famous
Great men are usually the products of their times and one of the men developed by these times takes rank with the greatest railroad leaders in history.;John Moody;history
These days, most nature photographers are deeply committed to the environmental message.;Galen Rowell;environmental
Sex education has to do with what's in people's head.;Donna Shalala;education
Every now and then, I have blissful moments of thanking God for all the amazing things that are happening. When I leave the White House after just meeting Obama or when I see my face on the cover of 'Rolling Stone' or when I meet someone who tells me that their daughter is inspired by me, those are moments that are incredibly joyful.;Lea Michele;amazing
I'm not sure it's the stimulus money that will necessarily allow the economy to recover. It will help to fortify our budgets, frankly, to ensure that there isn't as much backsliding in the areas of education and healthcare, for example.;Jon Huntsman, Jr.;education
We used to talk about wanting to get some money, but that's when hip-hop was based on your dreams and your fantasy. The whole thing now is the dreams and fantasies were achieved, and you don't want to make it the focal point. You can't keep beating that dead horse.;Puff Daddy;dreams
It's simple, if it jiggles, it's fat.;Arnold Schwarzenegger;funny
The key element in tragedy is that heroes and heroines are destroyed by that which appears to be their greatest strength.;Robert Shea;strength
Honestly, I think a good film is spiritual, regardless of whether its subject is faith.;Vera Farmiga;faith
Every therapeutic cure, and still more, any awkward attempt to show the patient the truth, tears him from the cradle of his freedom from responsibility and must therefore reckon with the most vehement resistance.;Alfred Adler;truth
For a Catholic kid in parochial school, the only way to survive the beatings - by classmates, not the nuns - was to be the funny guy.;George A. Romero;funny
Mental health needs a great deal of attention. It's the final taboo and it needs to be faced and dealt with.;Adam Ant;health
Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude.;Denis Waitley;happiness
