Somebody called me a 'bruised romantic' once, and I like that.;Susannah McCorkle;romantic
Keep a cool head and maintain a low profile. Never take the lead - but aim to do something big.;Deng Xiaoping;cool
We believe it wrong ever to take a dollar from a free citizen without a very necessary public purpose, because each such taking diminishes the freedom to spend that dollar as its owner would prefer.;Mitch Daniels;freedom
Our truest life is when we are in dreams awake.;Henry David Thoreau;imagination
A work of art that contains theories is like an object on which the price tag has been left.;Alexander Pope;work
God the Father, the supreme Architect, had already built this cosmic home we behold, the most sacred temple of His godhead, by the laws of His mysterious wisdom.;Giovanni Pico della Mirandola;wisdom
I consider skateboarding an art form, a lifestyle and a sport. 'Action sport' would be the least offensive categorization.;Tony Hawk;art
I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.;Martin Luther King, Jr.;war
When you put something out there into the world, there's all these words you don't want to hear, that you hope people don't say. I don't like anything that starts with 're' - like retro, reinvent, recreate - I hate that. It's always like living in the past - copying, emulating.;Jack White;hope
A dog barks when his master is attacked. I would be a coward if I saw that God's truth is attacked and yet would remain silent.;Pearl S. Buck;truth
Read the best books first, or you may not have a chance to read them at all.;Henry David Thoreau;best
It is not in the nature of politics that the best men should be elected. The best men do not want to govern their fellowmen.;George MacDonald;best
The art of medicine consists in amusing the patient while nature cures the disease.;Voltaire;nature
God sleeps in the minerals, awakens in plants, walks in animals, and thinks in man.;Arthur Young;god
The situation in the United States is becoming more dire for average ordinary Americans and the last thing we need to do is to spend money on death, destruction and war.;Cynthia McKinney;death
I just sort of take it from a character perspective, and I don't know if he was necessarily spiritual, but I do think he had hope. He was a character that was comfortable having hope in his life, and hope is faith.;Ryan Gosling;faith
Generally, I'm a pretty positive, but like any other working person, if the jobs aren't coming in, I do get depressed.;Britt Ekland;positive
The ultimate end of education is happiness or a good human life, a life enriched by the possession of every kind of good, by the enjoyment of every type of satisfaction.;Mortimer Adler;happiness
I read the Odyssey because it was the story of a man who returned home after being absent for more than twenty years and was recognized only by his dog.;Guillermo Cabrera Infante;home
The chief difference between words and deeds is that words are always intended for men for their approbation, but deeds can be done only for God.;Leo Tolstoy;god
A man can fail many times, but he isn't a failure until he begins to blame somebody else.;John Burroughs;failure
Religion, like water, may be free, but when they pipe it to you, you've got to help pay for piping. And the Piper!;Abigail Van Buren;religion
Pictures must not be too picturesque.;Ralph Waldo Emerson;art
I had found English audiences highly satisfactory. They are the best listeners in the world. Perhaps the music-lovers of some of our larger cities equal the English, but I do not believe they can be surpassed in that respect.;John Philip Sousa;respect
Life is but thought.;Sara Teasdale;life
I went to engineering school, which I thought was what I wanted to do, for about two weeks. We had an orientation class and we met this guy where he worked and stuff and it was cool, but I was like, 'There is no way this is going to be my life.';Evan Glodell;cool
I very much enjoyed my career in science. I didn't leave science because I was disillusioned, but felt I'd done my bit for it after about twenty-five years.;John Polkinghorne;science
It is easier to learn to interpret dreams if you have a reason to use them for something constructive. You apply your dream insights to making constructive changes in your life.;Henry Reed;dreams
The next thing I wrote was in a writing class at night school. It was about a poor woman who worked at a dime store and who was all alone for Christmas in Laurel, Mississippi.;Beth Henley;alone
So we mustn't lower our guard in any sense because of what has happened in terms of the death of Osama Bin Laden and we are certainly not doing that. The terror threat level here in the U.K. remains at severe and we're very conscious of the need to continue that.;Theresa May;death
No power in society, no hardship in your condition can depress you, keep you down, in knowledge, power, virtue, influence, but by your own consent.;William Ellery Channing;power
Sorrows gather around great souls as storms do around mountains but, like them, they break the storm and purify the air of the plain beneath them.;Jean Paul;nature
I hate failure and that divorce was a Number One failure in my eyes. It was the worst period of my life. Neither Desi nor I have been the same since, physically or mentally.;Lucille Ball;failure
As an actor, to have achieved financial stability is amazing. But I always have this weird fear that I'm not going to get any more work it's about not having enough money.;Paul Giamatti;amazing
I love power. But it is as an artist that I love it. I love it as a musician loves his violin, to draw out its sounds and chords and harmonies.;Napoleon Bonaparte;politics
I'm not, nor is anybody I know in government part of a nasty right wing clique.;William Hague;government
I am encouraged that there's going to be much better dialogue between the federal government and the state of Arizona. I mean, I hope that's not wishful thinking.;Jan Brewer;hope
To me, a building - if it's beautiful - is the love of one man, he's made it out of his love for space, materials, things like that.;Martha Graham;architecture
I grew up in a family that was multifaceted, sexually oriented, and pretty much open to everything. And because I was working, my friends were all adults. I had a tough time going to different schools because people knew me from films and I was the fat child who got beaten up every day.;Drew Barrymore;family
Public confidence in the integrity of the Government is indispensable to faith in democracy and when we lose faith in the system, we have lost faith in everything we fight and spend for.;Adlai E. Stevenson;government
That is now my mission: to provide a European vision of growth, employment, prosperity - in one word, our future.;Francois Hollande;future
The world is given to me only once, not one existing and one perceived. Subject and object are only one. The barrier between them cannot be said to have broken down as a result of recent experience in the physical sciences, for this barrier does not exist.;Erwin Schrodinger;experience
There is overwhelming evidence that the higher the level of self-esteem, the more likely one will be to treat others with respect, kindness, and generosity.;Nathaniel Branden;respect
The show doesn't drive home a lesson, but it can open up people's minds enough for them to see how stupid every kind of prejudice can be.;Redd Foxx;home
I was hit by a car once on my bike, but I still rode home.;Amy Winehouse;home
It's easy to be lazy when there's food lying around backstage or there's a fast-food joint a couple blocks away. But if you walk a little further, ask around a bit, of course there are exciting things to discover.;Alex Kapranos;food
I am favor of cutting taxes under any circumstances and for any excuse, for any reason, whenever it's possible.;Milton Friedman;finance
