It's amazing how quickly people on the internet can pick something up, but it's also amazing how quickly they can drop it.;Tim Berners Lee;amazing
I think a lot of people, even Christians, are willing to be satisfied with gaining lots and lots of biblical knowledge - and many people go to Bible studies and don't realize it isn't enough to know what's right, it's applying the information and the knowledge that you have.;Charles Stanley;knowledge
Little children are still the symbol of the eternal marriage between love and duty.;George Eliot;love
I think it has something to do with being British. We don't take ourselves as seriously as some other countries do. I think a lot of people take themselves far too seriously I find that a very tedious attitude.;Joan Collins;attitude
The words of the Bible, and the Bible alone, should be heard from the pulpit.;Ellen G. White;alone
Men are apt to mistake the strength of their feeling for the strength of their argument. The heated mind resents the chill touch and relentless scrutiny of logic.;William E. Gladstone;strength
My dad raised me with some good advice: 'Always tell the truth. Always shoot from the hip. You might not have many friends, but you'll never have enemies, because people will always know where you're coming from.';Pink;dad
During the past few decades, modern technology, with radio, TV, air travel, and satellites, has woven a network of communication which puts each part of the world in to almost instant contact with all the other parts.;David Bohm;travel
I can't sit down long enough to absorb any kind of learning.;Buddy Rich;learning
Tobey's a mellow, cool guy. He's just a good guy. I know that's not the answer you want, and I don't mean that as the political thing to say, but he's a nice guy.;Neil Patrick Harris;cool
The truth of our faith becomes a matter of ridicule among the infidels if any Catholic, not gifted with the necessary scientific learning, presents as dogma what scientific scrutiny shows to be false.;Thomas Aquinas;learning
The major value in life is not what you get. The major value in life is what you become.;Jim Rohn;life
There is no disguise which can hide love for long where it exists, or simulate it where it does not.;Francois de La Rochefoucauld;love
I have a stepladder. It's a very nice stepladder but it's sad that I never knew my real ladder.;Craig Charles;sad
A comfortable house is a great source of happiness. It ranks immediately after health and a good conscience.;Sydney Smith;happiness
I know there are things I did in education that will never be reversed. I have not done that in film yet because I have only been here for about nine months.;Estelle Morris;education
I hope I have important things to say.;Elizabeth Edwards;hope
You hit a certain age and - especially because of TV - the young cooks coming up say, 'You're a sellout, because you're doing something other than what you should be doing.' 'Top Chef' is a double-edged sword for me: There's a whole group of people who will not come to the restaurants because they assume I'm not in them anymore, all I do is TV.;Tom Colicchio;age
Music makes me high on stage, and that's the truth. It's like being almost addicted to music.;Jimi Hendrix;truth
I have to be alone very often. I'd be quite happy if I spent from Saturday night until Monday morning alone in my apartment. That's how I refuel.;Audrey Hepburn;morning
Gaming in general is a male thing. It isn't that gaming is designed to exclude women. Everybody who's tried to design a game to interest a large female audience has failed. And I think that has to do with the different thinking processes of men and women.;Gary Gygax;design
Dad was the only adult male I ever trusted.;Michael Reagan;dad
I don't believe in organized religion - I dealt with them hand in hand, and a whole bunch of Catholic priests tried to molest me. Telling me I was gay and I should go home with them and stuff.;Jonathan Davis;religion
I don't understand the whole dating thing. I know right off the bat if I'm interested in someone, and I don't want them to waste their money on me and take me out to eat if I know I'm not interested in that person.;Britney Spears;dating
Life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next.;Gilda Radner;best
I know I was a great friend to Tiger Woods. But when you have a relationship that's involves business and friendship - and the business part comes to an end - things always get a little blurry.;Hank Haney;friendship
