The enemies of the Christian religion and the Law of God confuse law with faith.;Randall Terry;faith
God could not be everywhere, and therefore he made mothers.;Rudyard Kipling;mothersday
Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.;Lucius Annaeus Seneca;anger
I wanted to escape Small Town U.S.A. To dismiss the boundaries, to explore. My life experience came from watching movies, TV, and reading books and magazines. When your culture comes from watching TV everyday, you're bombarded with images of things that seem cool, places that seem interesting, people who have jobs and careers and opportunities.;Trent Reznor;cool
Steven Tyler is awesome. He is so humble. He's really sweet and coming from him and his career, it's amazing.;Ashthon Jones;amazing
At the same, we need to remain sensitive to the reality that we are still an African society in which the majority of the people and communities live under severe deprivations and afflictions that are no fault of theirs.;Ibrahim Babangida;society
Desperation is the perfume of the young actor. It's so satisfying to have gotten rid of it. If you keep smelling it, it can drive you crazy. In this business a lot of people go nuts, go eccentric, even end up dead from it. Not my plan.;Uma Thurman;business
You take somebody that cries their goddam eyes out over phoney stuff in the movies, and nine times out of ten they're mean bastards at heart.;J. D. Salinger;movies
The best way to predict the future is to create it.;Peter Drucker;future
Never work just for money or for power. They won't save your soul or help you sleep at night.;Marian Wright Edelman;power
A proverb is the wisdom of many and the wit of one.;Lord John Russell;wisdom
We are telling the American people to have patience, courage, resolve and determination.;Muammar al-Gaddafi;patience
A woman's whole life is a history of the affections.;Washington Irving;history
The possibility of a scientific treatment of history means a wider experience, a greater maturity of practical reason, and finally a fuller realization of certain basic ideas regarding the nature of life and time.;Muhammad Iqbal;nature
The foundation stones for a balanced success are honesty, character, integrity, faith, love and loyalty.;Zig Ziglar;faith
I would like to be a positive force for young girls.;Leona Lewis;positive
The Right's view of government and the Left's view of big business are both correct.;Robert Anton Wilson;government
The best museums and museum exhibits about science or technology give you the feeling that, hey, this is interesting, but maybe I could do something here, too.;Paul Allen;technology
I can see how a relationship with a writer would be an easy thing.;Jeff Bridges;relationship
To me, if life boils down to one thing, it's movement. To live is to keep moving.;Jerry Seinfeld;life
I had always loved to write and my mom was my editor for my school papers.;Jenna Bush;mom
Without culture, and the relative freedom it implies, society, even when perfect, is but a jungle. This is why any authentic creation is a gift to the future.;Albert Camus;freedom
I talked to ex-wives of musicians of the '70s for research. They're the funniest people in the world, yet there is this sad, beautiful thing in their eyes that says they've seen more than they could ever possibly tell you.;Kate Hudson;sad
All the faith and good will in the world is wasted without direction.;Bill Owens;faith
But in Japanese, there's actually not much of a relationship between the music and the words.;Utada Hikaru;relationship
A relationship to me is never about the romance.;Shia LaBeouf;relationship
Police in China can do whatever they want after 81 days in arbitrary detention you clearly realise that they don't have to obey their own laws. In a society like this there is no negotiation, no discussion, except to tell you that power can crush you any time they want - not only you, your whole family and all people like you.;Ai Weiwei;society
By measuring the proportion of children living with the same parents from birth and whether their parents report a good quality relationship we are driving home the message that social programmes should promote family stability and avert breakdown.;Iain Duncan Smith;relationship
The young man knows the rules, but the old man knows the exceptions.;Oliver Wendell Holmes;wisdom
When the sun comes up, I have morals again.;Elayne Boosler;funny
There is nothing more requisite in business than despatch.;Joseph Addison;business
Satisfaction consists in freedom from pain, which is the positive element of life.;Arthur Schopenhauer;positive
If we want to secure the best jobs in the future, we must make America the best place in the world to do business.;Jim DeMint;future
As Americans, we don't see the role of government as guaranteeing outcomes, but allowing free men and women to flourish based on their own vision, their hard work and their personal responsibility.;Rick Perry;men
Marrying a man is like buying something you've been admiring for a long time in a shop window. You may love it when you get it home, but it doesn't always go with everything else in the house.;Jean Kerr;marriage
Let me say again that the relationship is asymmetrical: there's no democracy without a market economy, but you can have a market economy without democracy.;Peter L. Berger;relationship
If you break 100, watch your golf. If you break 80, watch your business.;Joey Adams;business
What actually makes poetry poetry is of course impossible to define. We recognize it when we hear it, when we see it, but we can't define it.;Robert Morgan;poetry
More and more couples are having this negotiation or discussion, but I'm still amazed at the number who aren't and where the cultural norm sort of kicks in and they just assume that mom's got to be the one who stays home, not dad.;James Levine;amazing
My idea of education is to unsettle the minds of the young and inflame their intellects.;Robert M. Hutchins;education
The intelligence investigation under the leadership of Senator Church, which I know has helped cause this investigation by you, points out that the agencies did not disclose certain facts to us and that certain plots were going on.;John Sherman Cooper;intelligence
It is not in the stars to hold our destiny but in ourselves.;William Shakespeare;future
We pray that every field of science may contribute in bringing happiness - not disaster - to human beings.;Kenichi Fukui;happiness
I can't tell you how scary it can be walking onto a movie and suddenly joining this family, it's like going to somebody else's Christmas dinner, everyone knows everyone, and you're there and you're not quite sure what you're supposed to be doing.;John Cleese;christmas
Country's hip it's cool music.;Ricky Skaggs;cool
That's what happens nowadays with people working on computers. They can so easily fix things with their mouse and take out all the, 'Oh, somebody coughed in the background we need to take that out' - or somebody hit a bad note. Those are all the best moments.;Jack White;best
If you deprive yourself of outsourcing and your competitors do not, you're putting yourself out of business.;Lee Kuan Yew;business
It's like why people read scary books or go see scary movies. Because it creates a distance. They're scared, but they're not going to get hurt.;Vincent D'Onofrio;movies
I start really missing London when I go away. I have a little flat, but very central. I live above a pub and you'd think it'd be a nightmare, but I like hearing the music and it's quite comforting.;Ellie Goulding;music
Education's purpose is to replace an empty mind with an open one.;Malcolm Forbes;education
I would love a family. I'm at the age where the wish for a child gets stronger. But who knows.;Cameron Diaz;age
Most powerful is he who has himself in his own power.;Lucius Annaeus Seneca;power
Curiosity is one of the great secrets of happiness.;Bryant H. McGill;happiness
Civilization is the progress toward a society of privacy. The savage's whole existence is public, ruled by the laws of his tribe. Civilization is the process of setting man free from men.;Ayn Rand;men
The universe is an intelligence test.;Timothy Leary;intelligence
Being an artist is dragging your innermost feelings out, giving a piece of yourself, no matter in which art form, in which medium.;Henry Rollins;art
I fear God and next to God I mostly fear them that fear him not.;Saadi;fear
It is not patriotic to commit young Americans to war unless our national security clearly requires it.;George McGovern;war
My mother was determined to make us independent. When I was four years old, she stopped the car a few miles from our house and made me find my own way home across the fields. I got hopelessly lost.;Richard Branson;home
Words do not change their meanings so drastically in the course of centuries as, in our minds, names do in the course of a year or two.;Marcel Proust;change
