The pursuit of happiness is a most ridiculous phrase: if you pursue happiness you'll never find it.;Carrie P. Snow;happiness
I add this, that rational ability without education has oftener raised man to glory and virtue, than education without natural ability.;Marcus Tullius Cicero;education
A man desires praise that he may be reassured, that he may be quit of his doubting of himself he is indifferent to applause when he is confident of success.;Alec Waugh;success
Once I accepted Christ I immediately had peace. I still didn't have a place to live, I still didn't have a car, but I had peace.;Sherri Shepherd;peace
I've got to be high class... Which is sad, because I like bars.;Daniel Craig;sad
Humans have a fraught relationship with beasts. They are our companions and our chattel, our family members and our laborers, our household pets and our household pests. We love them and cage them, admire them and abuse them. And, of course, we cook and eat them.;Jeffrey Kluger;relationship
What looks absolutely fabulous in rehearsal can fall flat in front of an audience. The audience dictates what you do or don't change.;Harvey Fierstein;change
The travel writer seeks the world we have lost - the lost valleys of the imagination.;Alexander Cockburn;travel
I can't look in the mirror and look at fake things. I just can't. I'd rather age.;Heidi Klum;age
An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.;Agatha Christie;age
I want to be very close to someone I respect and admire and have somebody who feels the same way about me.;Richard Bach;respect
Poetry is emotion put into measure. The emotion must come by nature, but the measure can be acquired by art.;Thomas Hardy;art
Blowing up buses will not induce the Israelis to move forward, and neither will the killing of Palestinians or the demolition of their homes and their future. All this needs to stop. And we pledge that Jordan will do its utmost to help achieve it.;King Abdullah II;future
Great is the victory, but the friendship of all is greater.;Emil Zatopek;friendship
Writing poetry is the hard manual labor of the imagination.;Ishmael Reed;poetry
A lot of baby boomers are baby bongers.;Kevin Nealon;funny
Old age is the verdict of life.;Amelia Barr;age
It's very cool to be able to say that my first real film was 'Footloose' and my second film I got to star alongside Tom Cruise and Catherine Zeta-Jones.;Julianne Hough;cool
I founded a launch company called International Microspace when I graduated medical school in 1989. We were trying to build a microsatellite launcher.;Peter Diamandis;medical
Being brilliant is no great feat if you respect nothing.;Johann Wolfgang von Goethe;respect
I choose my friends for their good looks, my acquaintances for their good characters, and my enemies for their intellects. A man cannot be too careful in the choice of his enemies.;Oscar Wilde;intelligence
If my kid couldn't draw I'd make sure that my kitchen magnets didn't work.;Mitch Hedberg;work
There is no fundamental difference between the preparation for death and the practice of dying, and spiritual practice leading to enlightenment.;Stanislav Grof;death
Everywhere among the English-speaking race criminal justice was rude, and punishments were barbarous but the tendency was to do away with special privileges and legal exemptions.;Albert Bushnell Hart;legal
Why does everyone think the future is space helmets, silver foil, and talking like computers, like a bad episode of Star Trek?;Tracey Ullman;future
When I design a wedding dress with a bustle, it has to be one the bride can dance in. I love the idea that something is practical and still looks great.;Vera Wang;wedding
I am growing and learning. There's so much more that I want to accomplish and do. I'm gonna do it at whatever pace it happens. I'm not trying to rush anything or slow anything down.;Jordin Sparks;learning
I just hope that theaters remain. I think there's something very wonderful about getting into a dark room with a bunch of people. There's something cool about that. Brings us all together in one room where we can experience all those emotions.;Jeff Bridges;cool
We are living at a time when creeds and ideologies vary and clash. But the gospel of human sympathy is universal and eternal.;Samuel Hopkins Adams;sympathy
The ideal beauty is a fugitive which is never found.;Joan Rivers;beauty
I launched Chefs for Humanity, a national nonprofit, with my voice, heart and money from my own pocket. Money gives you the ability to make a difference in the world and, when used in a positive way, is a lot of fun.;Cat Cora;positive
Belief is the death of intelligence.;Robert Anton Wilson;intelligence
A rich man is nothing but a poor man with money.;W. C. Fields;money
I'm not a very good impersonator, my friends maybe, but not famous people.;Diane Kruger;famous
After all, is football a game or a religion?;Howard Cosell;religion
Without work, all life goes rotten. But when work is soulless, life stifles and dies.;Albert Camus;life
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.;Mark Caine;motivational
Let us all be brave enough to die the death of a martyr, but let no one lust for martyrdom.;Mahatma Gandhi;death
I think all women go through periods where we hate this about ourselves, we don't like that. It's great to get to a place where you dismiss anything you're worried about. I find flaws attractive. I find scars attractive.;Angelina Jolie;women
I like to hide behind the characters I play. Despite the public perception, I am a very private person who has a hard time with the fame thing.;Angelina Jolie;time
If God would have wanted us to live in a permissive society He would have given us Ten Suggestions and not Ten Commandments.;Zig Ziglar;god
Not only did I avoid speaking of Salinger I resisted thinking about him. I did not reread his letters to me. The experience had been too painful.;Joyce Maynard;experience
Experience taught me that working families are often just one pay check away from economic disaster. And it showed me first-hand the importance of every family having access to good health care.;Dave Obey;health
Wisdom is that apprehension of heavenly things to which the spirit rises through love.;Honore de Balzac;wisdom
When a man has once loved a woman he will do anything for her except continue to love her.;Oscar Wilde;love
Death Valley is really wide-open - it's bigger than Rhode Island - and it's less a part of California than an ungoverned territory, so there's lots of weird cops-and-robbers stuff going on.;Gus Van Sant;death
Thus, the use of fiat money is more justifiable in financing a depression than in financing a war.;Carroll Quigley;war
The actions of men are the best interpreters of their thoughts.;James Joyce;best
Most people ask for happiness on condition. Happiness can only be felt if you don't set any condition.;Arthur Rubinstein;happiness
What then is freedom? The power to live as one wishes.;Marcus Tullius Cicero;freedom
As the war on terror continues, Americans must honor the brave men and women who gave their lives for the protection of this nation and the hope of peace.;Dan Lipinski;peace
Jesus picked up twelve men from the bottom ranks of business and forged them into an organisation that conquered the world.;Bruce Barton;business
Graphic design is the paradise of individuality, eccentricity, heresy, abnormality, hobbies and humors.;George Santayana;design
The best days I have are usually days where I'm out in the woods and something happens, like I see an amazing animal like a fox, or I get a glimpse of a wild pig or something that I never see. Or crazy things happen.;Amy Ray;amazing
I started playing ball when I was a kid. My dad was a pro ball player and he passed on his knowledge to me.;Kurt Russell;dad
I love sharing my knowledge of hitting with others. Now coaches and players at all levels can learn my systematic approach to hitting a baseball with more consistency, mental strength and accuracy.;Dusty Baker;strength
Justice turns the scale, bringing to some learning through suffering.;Aeschylus;learning
Luis Bunuel made great movies.;Giancarlo Esposito;movies
I have always been the kid who's asked 'Why?' In my faith, you're just supposed to have faith. But I was always like 'why?';Katy Perry;faith
Training in taekwondo for eight years and then being able to do it in a film was pretty amazing.;Dev Patel;amazing
Those people who develop the ability to continuously acquire new and better forms of knowledge that they can apply to their work and to their lives will be the movers and shakers in our society for the indefinite future.;Brian Tracy;society
The armored cars of dreams, contrived to let us do so many a dangerous thing.;Elizabeth Bishop;dreams
