You wanna get the truth out of me, get me hammered.;Ron White;truth
Attitude is more important than the past, than education, than money, than circumstances, than what people do or say. It is more important than appearance, giftedness, or skill.;Charles R. Swindoll;money
Telling the truth, and confronting the challenge, is what politics is about.;Johann Lamont;politics
I was built up from my dad more than anyone else.;John Wooden;dad
I'm a person who likes these sort of movies... sad but moving 'art movies' that normally are at a festival and then they go to a small art house theater and disappear.;Zach Braff;sad
I saw a photograph of a wedding conducted by Reverend Moon of the Unification Church. I wanted to understand this event, and the only way to understand it was to write about it.;Don DeLillo;wedding
I always market research my books before I hand them in by showing them to five or six close friends who I trust to be honest with me, so they are very heavily re-written already.;Helen Fielding;trust
Art is not merely an imitation of the reality of nature, but in truth a metaphysical supplement to the reality of nature, placed alongside thereof for its conquest.;Friedrich Nietzsche;art
I think one of the great problems we have in the Republican Party is that we don't encourage you to be nasty. We encourage you to be neat, obedient, loyal and faithful and all those Boy Scout words, which would be great around a campfire but are lousy in politics.;Newt Gingrich;politics
The whole world loves American movies, blue jeans, jazz and rock and roll. It is probably a better way to get to know our country than by what politicians or airline commercials represent.;Billy Joel;movies
What is government itself but the greatest of all reflections on human nature? If men were angels, no government would be necessary. If angels were to govern men, neither external nor internal controls on government would be necessary.;James Madison;government
In these days, it is doubtful that any child may reasonably be expected to succeed in life if he is denied the opportunity of an education.;Earl Warren;education
If you don't like something, change it. If you can't change it, change your attitude.;Maya Angelou;change
I emphasize self-esteem, self-confidence, and dignity, not as an ideal, but as a real test of community organization. Without leadership development, community organizations do not have staying power.;Paul Wellstone;leadership
I can jog, but I can't run. That's hard for me. I like the fact that I can jog for fitness, but to me there's a huge difference between jogging and running.;Mary Decker;fitness
I never hurt nobody but myself and that's nobody's business but my own.;Billie Holiday;business
People say the 'Lost Generation' in a romantic sense, but I think it was tragic. They were really lost.;Corey Stoll;romantic
I hope all you young girls see yourself up there... we were just like you.;Mia Hamm;hope
I think Serena Williams is the best tennis player of this generation, if not the best ever. It is amazing for her to be playing as well as she is at the age of 31.;Samantha Stosur;amazing
Good food and a warm kitchen are what makes a house a home. I always tried to make my home like my mother's, because Mom was magnificent at stretching a buck when it came to decorating and food. Like a true Italian, she valued beautification in every area of her life, and I try to do the same.;Rachael Ray;food
God is not a dead equation!;Muhammad Iqbal;god
Computers are to design as microwaves are to cooking.;Milton Glaser;computers
Patriotism is best exemplified through auto-critique. When you're willing to stand up within the group and say, 'It is wrong for Black people to be anti-Semitic,' or 'It is wrong for America to discriminate against persons of African descent and made them slaves and based its wealth upon free labor,' it's crucial to say that.;Henry Louis Gates;best
Do not look upon this world with fear and loathing. Bravely face whatever the gods offer.;Morihei Ueshiba;fear
In a general way, I want to be a kind of flag-waver, bunting hanger-up, drum-beater, you name it, for poetry.;Andrew Motion;poetry
In Australia, they set up a special fund to kick films off. It was quite an enlightened sort of move. You could go to this government bureau with scripts and and get finance for films.;Bruce Beresford;finance
My mother wanted me to be a teacher. She had this vision of me walking across the quadrangle in an Oxford college wearing my academic gown.;Simon Callow;teacher
Winners never quit and quitters never win.;Vince Lombardi;wisdom
Thanksgiving, man. Not a good day to be my pants.;Kevin James;thanksgiving
When I get up and work out, I'm working out just as much for my girls as I am for me, because I want them to see a mother who loves them dearly, who invests in them, but who also invests in herself. It's just as much about letting them know as young women that it is okay to put yourself a little higher on your priority list.;Michelle Obama;women
Nevertheless, I consider OOP as an aspect of programming in the large that is, as an aspect that logically follows programming in the small and requires sound knowledge of procedural programming.;Niklaus Wirth;knowledge
The preparation, commitment and desire to win will be no less than the last time I drove a grand prix car in anger.;Nigel Mansell;anger
Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.;Robert H. Schuller;patience
My grandfather gave me inspiration to cook, and love food and flavors. My Aunt Raffie, gave me creativity and the inspiration to create new things. My mother inspires me to find simplicity in food.;Giada De Laurentiis;food
The power to question is the basis of all human progress.;Indira Gandhi;power
I'm looking for backing for an unauthorized auto-biography that I am writing. Hopefully, this will sell in such huge numbers that I will be able to sue myself for an extraordinary amount of money and finance the film version in which I will play everybody.;David Bowie;money
I spent my whole life in the private sector, 25 years in the private sector. I understand that when government takes more money out of the hands of people, it makes it more difficult for them to buy things. If they can't buy things, the economy doesn't grow. If the economy doesn't grow, we don't put Americans to work.;Mitt Romney;life
The key to organizing an alternative society is to organize people around what they can do, and more importantly, what they want to do.;Abbie Hoffman;society
A better world shall emerge based on faith and understanding.;Douglas MacArthur;faith
