'Tis education forms the common mind just as the twig is bent the tree's inclined.;Alexander Pope;education
True friends stab you in the front.;Oscar Wilde;friendship
I just travel all the time. And I was just looking at the schedules now and starting the first week of October I will be every weekend with somebody at tournaments through Christmas. So it gets very difficult to just go away and not do that.;Ivan Lendl;christmas
Advertising is the art of convincing people to spend money they don't have for something they don't need.;Will Rogers;money
Through mutual understanding, sincerity and goodwill, and with great wisdom and broad views, the leaders on both sides should jointly initiate new opportunities for peace, stability, cooperation and mutual benefit.;Chen Shui-bian;peace
Those who expect to reap the blessings of freedom must, like men, undergo the fatigue of supporting it.;Thomas Paine;freedom
Even the knowledge of my own fallibility cannot keep me from making mistakes. Only when I fall do I get up again.;Vincent Van Gogh;knowledge
My relationship with my mom is so amazing. We never got to have that stage that people go through, like when you're 13 and you think you're too cool for your parents. When you're embarrassed by them and stuff. We never went through that because I was constantly working and she constantly had to be there.;Hilary Duff;mom
I worked hard all my life as far as this music business. I dreamed of the day when I could go to New York and feel comfortable and they could come out here and be comfortable.;Tupac Shakur;business
It's important to ask candidates about their beliefs, in part because politicians frequently exploit religious faith - often with the idea that voters will be more likely to unthinkingly accept certain political positions so long as they arise from religious belief.;Gary Bauer;faith
Ethical religion can be real only to those who are engaged in ceaseless efforts at moral improvement. By moving upward we acquire faith in an upward movement, without limit.;Felix Adler;faith
People with deep faith and big hearts are concerned, as I am about the circumstance that Ms. Schiavo is in. I want them to know I will do what I can, but there are limits to what any particular person - irrespective of the title they currently hold - can do.;Jeb Bush;faith
Death is not natural for a state as it is for a human being, for whom death is not only necessary, but frequently even desirable.;Marcus Tullius Cicero;death
Friendship is a strong and habitual inclination in two persons to promote the good and happiness of one another.;Eustace Budgell;happiness
I think the one thing this picture shows that's new is the psychological disproportion of the kids' demands on the parents. Parents are often at fault, but the kids have some work to do, too.;James Dean;work
While democracy in the long run is the most stable form of government, in the short run, it is among the most fragile.;Madeleine Albright;government
I think violence, cynicism, brutality and fashion are the staples of our diet. I think in the grand history of story-telling, going back to people sitting around fires, the dark side of human nature has always been very important. Movies are part of that tradition.;Eric Stoltz;diet
If I am in London I like a quick get away to The Olde Bell in Hurley... It's nearby and no stress - great food and beautiful walks.;Sadie Frost;food
Love is like war: easy to begin but very hard to stop.;H. L. Mencken;war
We all have to work for happiness. And you cannot listen to other people. That is the worst mistake you can make.;Jillian Michaels;happiness
A wedding anniversary is the celebration of love, trust, partnership, tolerance and tenacity. The order varies for any given year.;Paul Sweeney;love
Excellence is a better teacher than mediocrity. The lessons of the ordinary are everywhere. Truly profound and original insights are to be found only in studying the exemplary.;Warren G. Bennis;teacher
The pilot looked at his cues of attitude and speed and orientation and so on and responded as he would from the same cues in an airplane, but there was no way it flew the same. The simulators had showed us that.;Alan Shepard;attitude
I got through my teen years by being a bit of a clown.;Diane Cilento;teen
Right now people seem to be very tentative about the positive benefits of capitalism.;Jeb Bush;positive
The Palestinians want a state, but they have to give peace in return. What they're trying to do in the United Nations is to get a state without giving Israel peace or giving Israel peace and security. And I think that's, that's wrong. That should not succeed. That should, that should fail.;Benjamin Netanyahu;peace
I'm famous by default. I came out of the womb, and people wanted to know who I was because of my parents.;Frances Bean Cobain;famous
Wisdom oft times consists of knowing what to do next.;Herbert Hoover;wisdom
I'd always felt very strongly in the power of vocation.;Daniel Day-Lewis;power
I was influenced by surrealist poetry and painting as were thousands of other people, and it seems to me to have become a part of the way I write, but it's not.;Kenneth Koch;poetry
In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.;Buddha;anger
Architecture is a visual art, and the buildings speak for themselves.;Julia Morgan;architecture
Being an actor is the loneliest thing in the world. You are all alone with your concentration and imagination, and that's all you have.;James Dean;imagination
I mean I was famous for nothing.;Rick Springfield;famous
Akron, Ohio, is my home. It will always be remembered. Akron, Ohio, is my life.;LeBron James;home
I think we're going to the moon because it's in the nature of the human being to face challenges. It's by the nature of his deep inner soul... we're required to do these things just as salmon swim upstream.;Neil Armstrong;nature
Art owes its origin to Nature herself... this beautiful creation, the world, supplied the first model, while the original teacher was that divine intelligence which has not only made us superior to the other animals, but like God Himself, if I may venture to say it.;Giorgio Vasari;intelligence
We have an amazing advantage right now in that we have developed technology that is so sexy, so engaging for kids.;LeVar Burton;technology
Instead of asking 'How much damage will the work in question bring about?' why not ask 'How much good? How much joy?';Henry Miller;work
I know I had no hand in making this war, and I know I will make more sacrifices today than any of you to secure peace.;William Tecumseh Sherman;peace
It will be a hard game if you think about winning a championship. We need to think about our own game at the moment and focus on getting good results especially over the Christmas period.;Dennis Bergkamp;christmas
But look, I was born in 1956, the peak year for births in US history. I think I'm very representative of many of the thought processes my generation have been through and, by and large, people of my age have had their imprint planted on the consciousness of western society for a long time.;Tom Hanks;history
It's a great mistake, I think, to put children off with falsehoods and nonsense, when their growing powers of observation and discrimination excite in them a desire to know about things.;Anne Sullivan;parenting
Writing is no dying art form in America because most published writers here accept the wisdom and the necessity of encouraging the talent that follows in their footsteps.;Elizabeth George;wisdom
Dreams have only the pigmentation of fact.;Djuna Barnes;dreams
