I played a ton of team sports growing up, and team wins are just incredibly gratifying.;Jason Bateman;sports
Why should any man have power over any other man's faith, seeing Christ Himself is the author of it?;George Fox;faith
Dalton's records, carefully preserved for a century, were destroyed during the World War II bombing of Manchester. It is not only the living who are killed in war.;Isaac Asimov;war
He who never sacrificed a present to a future good or a personal to a general one can speak of happiness only as the blind do of colors.;Olympia Brown;happiness
I failed to fulfill what should have been an interesting role. I couldn't take their formula and bring what I had, my humor, my ideas, and make it my own.;Dianne Wiest;humor
We ought to recognize that we have an offensive responsibility to take the war to the terrorists where they are. That responsibility has waned in the last year as military and intelligence resources were withdrawn from Afghanistan and Pakistan to be used in Iraq.;Bob Graham;intelligence
If you really want to make a friend, go to someone's house and eat with him... the people who give you their food give you their heart.;Cesar Chavez;food
I've made movies that cost less than one car chase.;Sam Mendes;movies
For me, French is so rich and so sacred that learning it is like learning a foreign language.;Fabrice Luchini;learning
Mr. Janet Reno? I think Mr. Janet Reno... I think he's one of the best hunting dogs in the world.;Ted Nugent;best
The time has come to tell the truth about the corruption of the government employee unions in this country.;Newt Gingrich;truth
It is precisely the purpose of the public opinion generated by the press to make the public incapable of judging, to insinuate into it the attitude of someone irresponsible, uninformed.;Walter Benjamin;attitude
We are all geniuses up to the age of ten.;Aldous Huxley;age
Happiness will come from materialism, not from meaning.;Andrei Platonov;happiness
Fear God and work hard.;David Livingstone;work
The love of liberty is the love of others the love of power is the love of ourselves.;William Hazlitt;power
The courage to imagine the otherwise is our greatest resource, adding color and suspense to all our life.;Daniel J. Boorstin;courage
My songs are my kids. Some of them stay with me, some others I have to send out, out to the war. It might sound stupid and it might even sound naive, but that's just the way it is.;Thom Yorke;war
I have a theory that the truth is never told during the nine-to-five hours.;Hunter S. Thompson;truth
Everything we release with Tool is inspired by our music.;Maynard James Keenan;music
I can trust my friends These people force me to examine myself, encourage me to grow.;Cher;trust
The first duty of government is to see that people have food, fuel, and clothes. The second, that they have means of moral and intellectual education.;John Ruskin;education
I was a mixture of being incredibly old for my age and incredibly backwards. I was born quite old, but then I stopped growing. I lived with my mum and dad till I was 30.;Helena Bonham Carter;age
He who laughs best today, will also laughs last.;Friedrich Nietzsche;best
A smile is a facelift that's in everyone's price range!;Tom Wilson;smile
